Mod.,pza.inv.ant,Exi,Dv.,P.X uni,Pzas.ve,To.ve.,X. ve.,Obser.
**834 Pun.Blanco,2,2,,930,0,0,1860,
836 Pun.Blanco,4,2,,850,2,1700,1700,
**837 Pun.Blanco,3,3,,700,0,0,2100,
**839 Pun Blanco,8,8,,800,0,0,6400,
**840 Pun Blanco,10,9,,850,1,850,7650,
**841 Pun Blanco,5,4,,930,1,930,3720,
**842 Pun Blanco,2,0,1,900,1,900,0,
**844 Pun Blanco,11,10,,800,1,800,8000,
**845 Pun. Blanco,6,6,,650,0,0,3900,
**847 Pun.Blanco,12,11,,820,1,820,9020,
**848 Pun Blanco,13,11,,800,2,1600,8800,
**850 Pun Blanco,7,6,,850,1,850,5100,
**851 Pun Blanco,12,12,,850,0,0,10200,
**851 T Pun Blanco,4,2,,920,2,1840,1840,
852 Pun Blanco,16,16,,1100,0,0,17600,
853 Pun Blanco,20,10,,750,10,7500,7500,
854 Pun Blanco,1,1,,850,0,0,850,
**Capa Pun.Blanco,20,20,,130,0,0,2600,
2096 Lessan,6,6,,540,0,0,3240,
3819 Lessan,1,1,,750,0,0,750,
3859 Lessan,8,6,,850,2,1700,5100,
3898 Lessan,5,1,,1130,4,4520,1130,
3917 Lessan,4,4,,610,0,0,2440,
3979 Lessan,17,16,,899,1,899,14384,
4005 Lessan,12,12,,550,0,0,6600,
4036 Lessan,12,11,,620,1,620,6820,
4042 Lessan,6,4,,700,2,1400,2800,
4050 Lessan,1,1,,720,0,0,720,
4054 Lessan,2,2,,720,0,0,1440,
4080 Lessan,3,3,,890,0,0,2670,
4082 Lessan,5,5,,620,0,0,3100,
4089 Lessan,5,4,,800,1,800,3200,
4095 Lessan,9,7,,950,2,1900,6650,
4104 Lessan,1,1,,1200,0,0,1200,
4113 Lessan,2,2,,650,0,0,1300,
4119 Lessan,13,13,,660,0,0,8580,
4132 Lessan,0,0,,900,0,0,0,
4137 Lessan,7,7,,880,0,0,6160,
4139 Lessan,5,5,,650,0,0,3250,
4150 Lessan,9,9,,900,0,0,8100,
4153 Lessan,4,3,,890,1,890,2670,
4154 Lessan,6,5,,890,1,890,4450,
4169 Lessan,5,4,,790,1,790,3160,
4174 Lessan,2,2,,999,0,0,1998,
4175 Lessan,3,0,1,1150,2,2300,0,
4183 Lessan,4,4,,740,0,0,2960,
4195 Lessan,10,7,,930,3,2790,6510,
4196 Lessan,6,6,,850,0,0,5100,
4206 Lessan,1,1,,800,0,0,800,
4216 Lessan,5,5,,990,0,0,4950,
