modelo,existencias_ant,existencias,dev,precio,pzas_ve,to_ve,x_ve,desc
4119 Lessan,15,15,,660,0,0,9900,
4150 Lessan,6,6,,900,0,0,5400,
4174 Lessan ,2,2,,999,0,0,1998,
4175 Lessan,1,1,,1150,0,0,1150,
4182 Lessan,2,0,2,850,0,0,0,
4188 Lessan,6,6,,740,0,0,4440,
4192 Lessan,6,6,,1150,0,0,6900,
4194 Lessan,1,1,,950,0,0,950,
4196 Lessan,1,1,,850,0,0,850,
4218 Lessan,5,5,,720,0,0,3600,
4223 Lessan,2,2,,720,0,0,1440,
4224 Lessan,4,4,,1180,0,0,4720,
4232 Lessan,3,3,,1300,0,0,3900,
4234 Lessan,8,8,,960,0,0,7680,
4262 Lessan,2,2,,1250,0,0,2500,
4263 Lessan,2,2,,850,0,0,1700,
4264 Lessan,7,7,,800,0,0,5600,
4268 Lessan,5,5,,1100,0,0,5500,
4272 Lessan,4,4,,980,0,0,3920,
4285 Lessan,8,7,,1100,1,1100,7700,
4304 Lessan,7,3,,1199,4,4796,3597,
4312 Lessan,2,2,,850,0,0,1700,
4329 Lessan,3,3,,799,0,0,2397,
4342 Lessan,2,2,,1200,0,0,2400,
4351 Lessan,4,3,,850,1,850,2550,
4388 Lessan,5,5,,1650,0,0,8250,
4437 Lessan,13,11,,890,2,1780,9790,
4439 Lessan,7,7,,1325,0,0,9275,
14023 Lessan,7,7,,550,0,0,3850,
14028 Lessan,4,4,,550,0,0,2200,
14053 Lessan,4,4,,800,0,0,3200,
14060 Lessan,4,0,4,970,0,0,0,
9070 Eli Corame,6,5,,500,1,500,2500,
9100 Eli Corame,9,9,,600,0,0,5400,
9201 Eli Corame,1,0,,600,1,600,0,
9201 Eli Corame,3,2,,600,1,600,1200,
9320 Eli Corame,8,8,,600,0,0,4800,
9375 Eli Corame,6,6,,600,0,0,3600,
9388 Eli Corame,5,4,,500,1,500,2000,
9395 Eli Corame,8,8,,500,0,0,4000,
9399 Eli Corame,6,6,,500,0,0,3000,
1425 Cocoon,27,27,,210,0,0,5670,
1025 Cocoon,2,2,,105,0,0,210,
1122 Libertad,3,3,,550,0,0,1650,
1132 Libertad,4,4,,600,0,0,2400,
1220 Libertad,2,2,,650,0,0,1300,
1240 Libertad,4,4,,650,0,0,2600,
1551 Libertad,3,3,,600,0,0,1800,
1554 Libertad,8,8,,600,0,0,4800,
1662 Libertad,12,12,,600,0,0,7200,
1766 Libertad,9,9,,650,0,0,5850,
1771 Libertad,1,1,,600,0,0,600,
