Mod.,pza.inv.ant,Exi,Dv.,costo x uni,Pzas.ve,To.ve.,X. ve.,Obser.
4002 Lessan,9,9,,590,0,0,5310,
4010 Lessan,5,5,,590,0,0,2950,
4022 Lessan,7,7,,890,0,0,6230,
4024 Lessan,15,15,,790,0,0,11850,
4036 Lessan,9,8,,620,1,620,4960,
4037 Lessan,8,8,,750,0,0,6000,
4041 Lessan,3,3,,590,0,0,1770,
4053 Lessan,3,3,,540,0,0,1620,
4054 Lessan,9,9,,720,0,0,6480,
4061 Lessan,4,4,,670,0,0,2680,
4076 Lessan,5,5,,680,0,0,3400,
4077 Lessan,1,1,,800,0,0,800,
4095 Lessan,3,0,3,950,0,0,0,
4119 Lessan,17,16,,660,1,660,10560,
4133 Lessan,4,2,,680,2,1360,1360,
4141 Lessan,1,1,,750,0,0,750,
4150 Lessan,11,7,4,900,0,0,6300,
4153 Lessan,1,0,,890,1,890,0,
4154 Lessan,2,2,,950,0,0,1900,
4164 Lessan,3,3,,990,0,0,2970,
4169 Lessan,4,4,,790,0,0,3160,
4175 Lessan,5,5,,1150,0,0,5750,
4187 Lessan,6,5,,699,1,699,3495,
4188 Lessan,4,4,,740,0,0,2960,
4196 Lessan,6,6,,850,0,0,5100,
4210 Lessan,5,5,,850,0,0,4250,
4214 Lessan,4,4,,1499,0,0,5996,
4218 Lessan,4,4,,720,0,0,2880,
4221 Lessan,1,1,,900,0,0,900,
4223 Lessan,3,3,,720,0,0,2160,
4224 Lessan,4,4,,1180,0,0,4720,
4232 Lessan,4,4,,1300,0,0,5200,
4233 Lessan,9,9,,900,0,0,8100,
4234 Lessan,4,4,,960,0,0,3840,
4238 Lessan,2,2,,980,0,0,1960,
4242 Lessan,3,3,,750,0,0,2250,
4258 Lessan,7,7,,890,0,0,6230,
4262 Lessan,3,3,,1250,0,0,3750,
4263 Lessan,2,2,,850,0,0,1700,
4264 Lessan,5,4,,750,1,750,3000,
4274 Lessan,4,4,,950,0,0,3800,
4275 Lessan,2,2,,960,0,0,1920,
4291 Lessan,4,1,,1199,3,3597,1199,
4304 Lessan,4,4,,1199,0,0,4796,
4308 Lessan,3,3,,1150,0,0,3450,
4312 Lessan,2,2,,850,0,0,1700,
4329 Lessan,1,1,,799,0,0,799,
14023 Lessan,7,7,,550,0,0,3850,
14028 Lessan,5,5,,550,0,0,2750,
14053 Lessan,4,4,,800,0,0,3200,
14056 Lessan,3,3,,700,0,0,2100,
14060 Lessan,4,4,,970,0,0,3880,
14061 Lessan,4,4,,860,0,0,3440,
9032 Eli Corame,9,6,,500,3,1500,3000,
9033 Eli Corame,3,3,,600,0,0,1800,
9071 Eli Corame,4,4,,600,0,0,2400,
9080 Eli Corame,1,0,,560,1,560,0,
9100 Eli Corame,7,4,,600,3,1800,2400,
9112 Eli Corame,2,2,,500,0,0,1000,
9201 Eli Corame,8,7,,600,1,600,4200,
9205 Eli Corame,5,5,,600,0,0,3000,
9239 Eli Corame,6,3,,600,3,1800,1800,
9310 Eli Corame,5,5,,500,0,0,2500,
9315 Eli Corame,5,4,,500,1,500,2000,
9320 Eli Corame,6,6,,600,0,0,3600,
