"modelo","provedor","marca","existencias","costo","nombre_prenda"
"4036 ","Lessan","Lessan",12,620,"Vestido"
"4037 ","Lessan","Lessan",9,750,"Vestido"
"4042 ","Lessan","Lessan",3,700,"Vestido"
"4059 ","Lessan","Lessan",2,680,"Vestido"
"4063 ","Lessan","Lessan",2,730,"Vestido"
"4068 ","Lessan","Lessan",6,650,"Vestido"
"4075 ","Lessan","Lessan",4,660,"Vestido"
"4079 ","Lessan","Lessan",8,800,"Vestido"
"4081 ","Lessan","Lessan",8,680,"Vestido"
"4082 ","Lessan","Lessan",7,620,"Vestido"
"4089 ","Lessan","Lessan",10,500,"Vestido"
"4094 ","Lessan","Lessan",12,750,"Vestido"
"4109 ","Lessan","Lessan",2,600,"Vestido"
"4113 ","Lessan","Lessan",7,650,"Vestido"
"4119 ","Lessan","Lessan",15,660,"Vestido"
"4125 ","Lessan","Lessan",5,770,"Vestido"
"4129 ","Lessan","Lessan",3,1180,"Vestido"
"4133 ","Lessan","Lessan",2,680,"Vestido"
"4138 ","Lessan","Lessan",3,680,"Vestido"
"4139 ","Lessan","Lessan",5,650,"Vestido"
"4206 ","Lessan","Lessan",8,800,"Vestido"
"14026 ","Lessan","Lessan",15,630,"Vestido"
"14028 ","Lessan","Lessan",10,550,"Vestido"
"14033 ","Lessan","Lessan",9,630,"Vestido"
"14035 ","Lessan","Lessan",10,570,"Vestido"
"14036 ","Lessan","Lessan",4,620,"Vestido"
"14037 ","Lessan","Lessan",13,620,"Vestido"
"14039 ","Lessan","Lessan",11,620,"Vestido"
"14042 ","Lessan","Lessan",3,929,"Vestido"
"MV-E-emma ","Ema Valdemosa","Ema Valdemosa",0,500,"Vestido"
"MUCN ","Ema Valdemosa","Ema Valdemosa",1,399,"Vestido"
"Z7025 ","Ema Valdemosa","Ema Valdemosa",9,399,"Vestido"
"1631 ","Ema Valdemosa","Ema Valdemosa",2,250,"Vestido"
"5042 ","Ema Valdemosa","Ema Valdemosa",7,300,"Vestido"
"5200 ","Ema Valdemosa","Ema Valdemosa",1,500,"Vestido"
"6062 ","Ema Valdemosa","Ema Valdemosa",1,1000,"Vestido"
"6132 ","Ema Valdemosa","Ema Valdemosa",1,250,"Vestido"
"6133 ","Ema Valdemosa","Ema Valdemosa",7,250,"Vestido"
"6244 ","Ema Valdemosa","Ema Valdemosa",15,400,"Vestido"
"6249 ","Ema Valdemosa","Ema Valdemosa",4,400,"Vestido"
"6505 ","Ema Valdemosa","Ema Valdemosa",1,500,"Vestido"
"7045 ","Ema Valdemosa","Ema Valdemosa",1,1000,"Vestido"
"7102 ","Ema Valdemosa","Ema Valdemosa",4,400,"Vestido"
"7104 ","Ema Valdemosa","Ema Valdemosa",2,400,"Vestido"
"7114 ","Ema Valdemosa","Ema Valdemosa",3,400,"Vestido"
"7118 ","Ema Valdemosa","Ema Valdemosa",10,400,"Vestido"
"7130 ","Ema Valdemosa","Ema Valdemosa",4,400,"Vestido"
"7211 ","Ema Valdemosa","Ema Valdemosa",4,400,"Vestido"
"7242 ","Ema Valdemosa","Ema Valdemosa",4,400,"Vestido"
"7243 ","Ema Valdemosa","Ema Valdemosa",6,400,"Vestido"
"7249 ","Ema Valdemosa","Ema Valdemosa",3,400,"Vestido"
"7304 ","Ema Valdemosa","Ema Valdemosa",4,400,"Vestido"
"7324 ","Ema Valdemosa","Ema Valdemosa",5,400,"Vestido"
"7342 ","Ema Valdemosa","Ema Valdemosa",3,400,"Vestido"
"13010 ","Ema Valdemosa","Ema Valdemosa",1,500,"Vestido"
"13338 ","Ema Valdemosa","Ema Valdemosa",0,500,"Vestido"
"15103 ","Ema Valdemosa","Ema Valdemosa",0,500,"Vestido"
"15544 ","Ema Valdemosa","Ema Valdemosa",1,500,"Vestido"
"16248 ","Ema Valdemosa","Ema Valdemosa",1,1000,"Vestido"
"16154 ","Ema Valdemosa","Ema Valdemosa",1,1000,"Vestido"
"16182 ","Ema Valdemosa","Ema Valdemosa",1,1200,"Vestido"
"16191 ","Ema Valdemosa","Ema Valdemosa",1,1200,"Vestido"
"16266 ","Ema Valdemosa","Ema Valdemosa",3,1200,"Vestido"
"16285 ","Ema Valdemosa","Ema Valdemosa",1,1000,"Vestido"
"16299 ","Ema Valdemosa","Ema Valdemosa",0,500,"Vestido"
"16308 ","Ema Valdemosa","Ema Valdemosa",1,1200,"Vestido"
"16319 ","Ema Valdemosa","Ema Valdemosa",1,500,"Vestido"
"16320 ","Ema Valdemosa","Ema Valdemosa",1,1000,"Vestido"
"16323 ","Ema Valdemosa","Ema Valdemosa",1,1000,"Vestido"
"16344 ","Ema Valdemosa","Ema Valdemosa",0,500,"Vestido"
"16370 ","Ema Valdemosa","Ema Valdemosa",5,1200,"Vestido"
"16408 ","Ema Valdemosa","Ema Valdemosa",1,500,"Vestido"
"16421 ","Ema Valdemosa","Ema Valdemosa",0,500,"Vestido"
"16427 ","Ema Valdemosa","Ema Valdemosa",1,1200,"Vestido"
"16448 ","Ema Valdemosa","Ema Valdemosa",0,1500,"Vestido"
"16477 ","Ema Valdemosa","Ema Valdemosa",1,1000,"Vestido"
"16507 ","Ema Valdemosa","Ema Valdemosa",2,1900,"Vestido"
"16661 ","Ema Valdemosa","Ema Valdemosa",1,500,"Vestido"
"16641 ","Ema Valdemosa","Ema Valdemosa",0,500,"Vestido"
"17069 ","Ema Valdemosa","Ema Valdemosa",1,1700,"Vestido"
"17116 ","Ema Valdemosa","Ema Valdemosa",3,1900,"Vestido"
"17182 ","Ema Valdemosa","Ema Valdemosa",3,2000,"Vestido"
"17217 ","Ema Valdemosa","Ema Valdemosa",2,1600,"Vestido"
"17231 ","Ema Valdemosa","Ema Valdemosa",9,1900,"Vestido"
"17235 ","Ema Valdemosa","Ema Valdemosa",2,1900,"Vestido"
"17241 ","Ema Valdemosa","Ema Valdemosa",2,1900,"Vestido"
"17243 ","Ema Valdemosa","Ema Valdemosa",3,1200,"Vestido"
"17252 ","Ema Valdemosa","Ema Valdemosa",4,1700,"Vestido"
"17258 ","Ema Valdemosa","Ema Valdemosa",4,1900,"Vestido"
"25230 ","Ema Valdemosa","Ema Valdemosa",1,500,"Vestido"
"25264 ","Ema Valdemosa","Ema Valdemosa",0,500,"Vestido"
"036 ","Cocoon","Cocoon",9,115,"Vestido"
"1116 ","Cocoon","Cocoon",17,90,"Vestido"
"1119 ","Cocoon","Cocoon",4,115,"Vestido"
"1025 ","Cocoon","Cocoon",33,135,"Vestido"
"1403 ","Cocoon","Cocoon",4,75,"Vestido"
"1425 ","Cocoon","Cocoon",62,210,"Vestido"
"1881 ","Cocoon","Cocoon",2,100,"Vestido"
"103 ","Cocoon","Cocoon",1,450,"Vestido"
"117 ","Cocoon","Cocoon",9,250,"Vestido"
"1777 ","Libertad","Libertad",3,250,"Vestido"
"0086 ","Libertad","Libertad",10,600,"Vestido"
"1122 ","Libertad","Libertad",17,550,"Vestido"
"1129 ","Libertad","Libertad",8,600,"Vestido"
"1131 ","Libertad","Libertad",4,600,"Vestido"
"1132 ","Libertad","Libertad",7,600,"Vestido"
"1220 ","Libertad","Libertad",26,650,"Vestido"
"1240 ","Libertad","Libertad",30,600,"Vestido"
"1449 ","Libertad","Libertad",9,600,"Vestido"
"1551 ","Libertad","Libertad",11,600,"Vestido"
