Mod.,Pza.mes ant,Exi,Dv.,P.X uni,Pzas.ve,To.ve.,X. ve.,Obser.
6771 Bianchi ,5,5,,700,0,0,"3,500",
6787 Bianchi,1,1,,250,0,0,250,
6797 Bianchi ,0,0,,600,0,0,0,
6803 Bianchi,1,1,,750,0,0,750,
6863 Bianchi ,1,1,,600,0,0,600,
6895 Bianchi,1,1,,500,0,0,500,
6905 Bianchi,2,2,,250,0,0,500,
6919 Bianchi,4,4,,420,0,0,"1,680",
6957 Bianchi,1,1,,400,0,0,400,
7003 Bianchi,3,3,,675,0,0,"2,025",
7011 Bianchi,1,1,,500,0,0,500,
7047 Bianchi,3,3,,480,0,0,"1,440",
7055 Bianchi,2,2,,470,0,0,940,
7057 Bianchi,5,5,,350,0,0,"1,750",
7071 Bianchi,9,9,,700,0,0,"6,300",
7083 Bianchi,8,8,,588,0,0,"4,704",
7087 Bianchi,3,3,,504,0,0,"1,512",
7111 Bianchi,2,2,,675,0,0,"1,350",
7115 Bianchi,1,1,,735,0,0,735,
7123 Bianchi,2,2,,"1,250",0,0,"2,500",
7161 Bianchi ,1,1,,576,0,0,576,
7179 Bianchi,3,3,,490,0,0,"1,470",
7181 Bianchi,2,2,,"1,050",0,0,"2,100",
7193 Bianchi,0,0,,525,0,0,0,
7221 Bianchi ,1,1,,630,0,0,630,
7227 Bianchi,2,2,,980,0,0,"1,960",
7225 Bianchi,2,2,,950,0,0,"1,900",
7245 Bianchi,0,0,,980,0,0,0,
7275 Bianchi,2,2,,450,0,0,900,
7279 Bianchi,1,1,,450,0,0,450,
7317 Bianchi,2,2,,735,0,0,"1,470",
7337 Bianchi,1,1,,550,0,0,550,
7401 Bianchi,2,2,,"1,050",0,0,"2,100",
7443 Bianchi,2,2,,600,0,0,"1,200",
7507 Bianchi,3,3,,420,0,0,"1,260",
7565 Bianchi,1,1,,450,0,0,450,
7573 Bianchi,1,1,,900,0,0,900,
7599 Bianchi,3,3,,615,0,0,"1,845",
7605 Bianchi,2,2,,725,0,0,"1,450",
7611 Bianchi,0,0,,500,0,0,0,**que bajo a 550
7647 Bianchi,1,1,,950,0,0,950,
7663 Bianchi,0,0,,400,0,0,0,
7685 Bianchi,2,2,,850,0,0,"1,700",
7703 Bianchi,2,2,,486,0,0,972,
7715 Bianchi,1,1,,"1,000",0,0,"1,000",
7721 Bianchi,1,1,,800,0,0,800,
7755 Bianchi,4,4,,500,0,0,"2,000",
7761 Bianchi,6,6,,500,0,0,"3,000",
7765 Bianchi,2,2,,400,0,0,800,
7799 Bianchi,1,1,,250,0,0,250,
7803 Bianchi,1,1,,850,0,0,850,
7837 Bianchi,1,1,,350,0,0,350,
7839 Bianchi,1,1,,780,0,0,780,
7877 Bianchi,1,1,,425,0,0,425,
7895 Bianchi,1,1,,850,0,0,850,
7899 Bianchi,1,1,,660,0,0,660,
7903 Bianchi,2,2,,665,0,0,"1,330",
8007 Bianchi,2,2,,287,0,0,574,
8089 Bianchi,1,1,,550,0,0,550,
8093 Bianchi,2,2,,630,0,0,"1,260",
8097 Bianchi,1,1,,"1,065",0,0,"1,065",
8099 Bianchi,1,1,,850,0,0,850,
8145 Bianchi,4,4,,"1,100",0,0,"4,400",81451
8153 Bianchi,1,1,,900,0,0,900,
8167 Bianchi,0,0,,950,0,0,0,
8203 Bianchi,6,6,,350,0,0,"2,100",
8211 Bianchi,1,1,,245,0,0,245,
8253 Bianchi,1,1,,600,0,0,600,
8291 Bianchi,4,4,,790,0,0,"3,160",
8397 Bianchi,1,1,,0,0,0,0,
8401 Bianchi,1,1,,735,0,0,735,
8413 Bianchi,1,1,,100,0,0,100,rebaja
