Mod.,pza.inv.ant,Exi,Dv.,costo x uni,Pzas.ve,To.ve.,X. ve.,Obser.,,
,,,,,,,765 A/c$500 r=$1180(8497),,,
,,,,,,,765 pagado,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
