"modelo","n_existencias","precio","descripcion","id_proveedor","id_marca","costo","id_tienda","notas"
"7599",6,2040,"",10,11,1020,3,""
"7605",3,1260,"",10,11,630,3,""
"7611",2,1000,"**que bajo a 550",10,11,500,3,""
"7647",1,1900,"",10,11,950,3,""
"7663",1,800,"",10,11,400,3,""
"7685",2,1700,"",10,11,850,3,""
"7703",2,972,"",10,11,486,3,""
"7715",1,2000,"",10,11,1000,3,""
"7721",1,1600,"",10,11,800,3,""
"7749",1,2400,"",10,11,1200,3,""
"7755",7,1000,"",10,11,500,3,""
"7761",6,2000,"",10,11,1000,3,""
"7765",2,1600,"",10,11,800,3,""
"7799",1,500,"",10,11,250,3,""
"7803",1,1700,"",10,11,850,3,""
"7807",1,2400,"",10,11,1200,3,""
"7837",3,700,"",10,11,350,3,""
"7839",1,1560,"",10,11,780,3,""
"7877",1,1700,"",10,11,850,3,""
"7895",2,1700,"",10,11,850,3,""
"7899",2,1350,"",10,11,675,3,""
"7903",2,1900,"",10,11,950,3,""
"8007",5,1150,"",10,11,575,3,""
"8089",1,2200,"",10,11,1100,3,""
"8093",3,1800,"",10,11,900,3,""
"8097",2,2130,"",10,11,1065,3,""
"8099",2,1700,"",10,11,850,3,""
"8145",7,2200,"81451",10,11,1100,3,""
"8153",2,1800,"",10,11,900,3,""
"8161",0,1000,"",10,11,500,3,""
"8167",1,1900,"",10,11,950,3,""
"8203",10,700,"",10,11,350,3,""
"8207",0,2200,"aBianca29jul",10,11,1100,3,""
"8211",2,700,"",10,11,350,3,""
"8245",1,1500,"",10,11,750,3,""
"8291",4,1580,"",10,11,790,3,""
"8345",0,2000,"",10,11,1000,3,""
"8397N",1,540,"rebaja",10,11,270,3,""
"8401",1,1470,"",10,11,735,3,""
"8413",1,200,"rebaja",10,11,100,3,""
"8519",14,2200,"",10,11,1100,3,""
"8533",2,1300,"",10,11,650,3,""
"8535",5,2200,"",10,11,1100,3,""
"8547",5,2300,"",10,11,1150,3,""
"8571",2,1800,"",10,11,900,3,""
"8607",6,2000,"",10,11,1000,3,""
"8613",0,2000,"",10,11,1000,3,""
"8615",16,1980,"",10,11,990,3,""
"8653",5,1900,"",10,11,950,3,""
"8659",8,1800,"",10,11,900,3,""
"8679",7,1900,"",10,11,950,3,""
"8691",7,2200,"",10,11,1100,3,""
"8721",6,2100,"",10,11,1050,3,""
"8753",9,1900,"",10,11,950,3,""
"8775",5,2200,"",10,11,1100,3,""
"8784",8,2400,"",10,11,1200,3,""
"8797",3,2200,"",10,11,1100,3,""
"8827",4,1820,"",10,11,910,3,""
"18515",6,2200,"",10,11,1100,3,""
"18629",4,1980,"",10,11,990,3,""
"56951",2,1400,"",10,11,700,3,""
"1025",0,200,"",1,1,100,3,""
"1116",0,210,"",1,1,105,3,""
"1009",0,180,"",1,1,90,3,""
"CDC-1780",1,2600,"1 NUESTRO",6,7,1300,3,""
"NA-2112",1,3000,"nuestro",6,7,1500,3,""
"NA-2526",1,3000,"1 NUESTRO",6,7,1500,3,""
