"modelo","n_existencias","precio","descripcion","id_proveedor","id_marca","costo","id_tienda","notas"
"5427",4,1490,"",7,8,745,1,""
"5441",0,940,"",7,8,470,1,""
"5443",10,1680,"",7,8,840,1,""
"5445",29,1750,"",7,8,875,1,""
"5469",19,1590,"",7,8,795,1,""
"5475",0,1100,"",7,8,550,1,""
"5477",0,940,"",7,8,470,1,""
"5488",11,1500,"",7,8,750,1,""
"5504",14,1000,"",7,8,500,1,""
"5506",1,1050,"",7,8,525,1,""
"5508",14,1200,"",7,8,600,1,""
"5519",3,1750,"",7,8,875,1,""
"5525",6,2000,"",7,8,1000,1,""
"5536",0,1650,"",7,8,825,1,""
"5538",6,1750,"",7,8,875,1,""
"5539",9,1800,"",7,8,900,1,""
"5549",7,1850,"",7,8,925,1,""
"5550",1,1790,"",7,8,895,1,""
"5551",11,1900,"",7,8,950,1,""
"5552",5,1890,"",7,8,945,1,""
"5553",4,1750,"",7,8,875,1,""
"5554",6,2200,"",7,8,1100,1,""
"5557",9,2700,"",7,8,1350,1,""
"5559",2,1750,"",7,8,875,1,""
"5560",6,1590,"",7,8,795,1,""
"5561",13,1850,"",7,8,925,1,""
"5563",0,1850,"",7,8,925,1,""
"5566",5,1870,"",7,8,935,1,""
"5567",9,1790,"",7,8,895,1,""
"5568",8,1900,"",7,8,950,1,""
"5571",0,1900,"",7,8,950,1,""
"5574",0,1900,"",7,8,950,1,""
"5576",5,1900,"",7,8,950,1,""
"5578",16,1990,"",7,8,995,1,""
"5580",17,1920,"",7,8,960,1,""
"5582",6,1900,"",7,8,950,1,""
"5583",9,1690,"",7,8,845,1,""
"5588",11,1800,"",7,8,900,1,""
"5589",13,1850,"",7,8,925,1,""
"5592",12,1950,"",7,8,975,1,""
"5593",8,1200,"",7,8,600,1,""
"5594",16,2000,"",7,8,1000,1,""
"5596",16,1290,"",7,8,645,1,""
"ASL-1419",4,3000,"",6,7,1500,1,""
"ASL-1423",4,2600,"",6,7,1300,1,""
"ASL-1704",1,2400,"",6,7,1200,1,""
"ASL-2011",8,3800,"",6,7,1900,1,""
"CC-1018",19,3400,"",6,7,1700,1,""
"CC-1277",1,3000,"",6,7,1500,1,""
"CC-1440",7,4100,"",6,7,2050,1,""
"CC-1473",9,3500,"",6,7,1750,1,""
"CC-1474",6,3080,"",6,7,1540,1,""
"CC-1475",8,2000,"",6,7,1000,1,""
"CD-3222",3,4200,"",6,7,2100,1,""
"CD-14327",0,4800,"",6,7,2400,1,""
"CD-7664",9,3320,"",6,7,1660,1,""
"CDHK-9163",2,2000,"",6,7,1000,1,""
"CDCD-711",14,3080,"",6,7,1540,1,""
"CDCE0010-Nyx",3,5600,"",11,12,2800,1,""
"CDCJ-0011",10,3880,"",6,7,1940,1,""
"CDJC-214",1,4100,"",6,7,2050,1,""
"CDJC-931",8,4700,"",6,7,2350,1,""
"CDCF-158",23,3500,"",6,7,1750,1,""
"EU-3090",9,2000,"",6,7,1000,1,""
"GLL-1116",3,2400,"",6,7,1200,1,""
"GLL-1332",10,2600,"",6,7,1300,1,""
"NA-070",8,4780,"",6,7,2390,1,""
"NA-5096",7,3880,"",6,7,1940,1,""
"NL-3647",4,3200,"",6,7,1600,1,""
"NL-3664",5,2900,"",6,7,1450,1,""
"NL-3747",6,3200,"",6,7,1600,1,""
"SP-7113",5,3880,"",6,7,1940,1,""
"SP-8802",1,5700,"",6,7,2850,1,""
"JE-2001",13,3800,"",6,7,1900,1,""
"LEQ-705",8,3080,"",6,7,1540,1,""
"001",6,700,"",8,9,350,1,""
"0714",2,1300,"",8,9,650,1,""
"714",8,1500,"",8,9,750,1,""
"722",36,1860,"",8,9,930,1,""
"722",2,1700,"",10,11,850,1,""
"722",1,1700,"",3,3,850,1,""
"0725",3,1060,"",8,9,530,1,""
"730",24,1860,"dev clienta",8,9,930,1,""
"750",12,1600,"bajo Aidee",8,9,800,1,""
"757",6,1300,"",8,9,650,1,""
"763",1,1200,"",8,9,600,1,""
"765",36,1860,"",8,9,930,1,""
"765",3,1900,"",8,9,950,1,""
"0770",1,1400,"",8,9,700,1,""
"0771",2,1200,"",8,9,600,1,""
"772",2,760,"",8,9,380,1,""
"780",13,1100,"",8,9,550,1,""
"782",3,1000,"",8,9,500,1,""
"791",3,1640,"",8,9,820,1,""
"792",2,1500,"",8,9,750,1,""
"793",18,800,"bajo Aidee",8,9,400,1,""
"794",8,1700,"",8,9,850,1,""
"796",20,800,"bajo Aidee",8,9,400,1,""
"797",11,1600,"",8,9,800,1,""
"798",4,800,"",8,9,400,1,""
"799",5,1600,"",8,9,800,1,""
"801",17,700,"",8,9,350,1,""
"802",2,1600,"",8,9,800,1,""
"804",1,1200,"bajo Aidee",8,9,600,1,""
"807",12,1200,"bajo Aidee",8,9,600,1,""
"811",5,1720,"",8,9,860,1,""
"812",6,1700,"",8,9,850,1,""
"815",7,2200,"",8,9,1100,1,""
"816",5,1700,"",8,9,850,1,""
"819",17,1700,"",8,9,850,1,""
"826",14,1500,"",8,9,750,1,""
"827",6,1600,"",8,9,800,1,""
"830",3,1360,"",8,9,680,1,""
"831",2,1600,"",8,9,800,1,""
"832",10,1360,"",8,9,680,1,""
"833",7,1760,"",8,9,880,1,""
"834",7,1460,"",8,9,730,1,""
"834",2,1860,"",8,9,930,1,""
"836",2,1700,"",8,9,850,1,""
"837",3,1400,"",8,9,700,1,""
"839",8,1600,"",8,9,800,1,""
"840",9,1700,"",8,9,850,1,""
"841",4,1860,"",8,9,930,1,""
"842",0,1800,"",8,9,900,1,""
"844",10,1600,"",8,9,800,1,""
"845",6,1300,"",8,9,650,1,""
"847",11,1640,"",8,9,820,1,""
"848",11,1600,"",8,9,800,1,""
"850",6,1700,"",8,9,850,1,""
"851",12,1700,"",8,9,850,1,""
"851",2,1840,"",1,1,920,1,""
"852",16,2200,"",8,9,1100,1,""
"853",10,1500,"",8,9,750,1,""
"854",1,1700,"",8,9,850,1,""
"Capa",20,260,"",8,9,130,1,""
"2096",6,1080,"",4,4,540,1,""
"3819",1,1500,"",4,4,750,1,""
"3859",6,1700,"",4,4,850,1,""
"3898",1,2260,"",4,4,1130,1,""
"3917",4,1220,"",4,4,610,1,""
"3979",16,1798,"",4,4,899,1,""
"4005",12,1100,"",4,4,550,1,""
"4036",11,1240,"",4,4,620,1,""
"4042",4,1400,"",4,4,700,1,""
"4050",1,1440,"",4,4,720,1,""
"4054",2,1440,"",4,4,720,1,""
"4080",3,1780,"",4,4,890,1,""
"4082",5,1240,"",4,4,620,1,""
"4089",4,1600,"",4,4,800,1,""
"4095",7,1900,"",4,4,950,1,""
"4104",1,2400,"",4,4,1200,1,""
"4113",2,1300,"",4,4,650,1,""
"4119",13,1320,"",4,4,660,1,""
"4132",0,1800,"",4,4,900,1,""
"4137",7,1760,"",4,4,880,1,""
"4139",5,1300,"",4,4,650,1,""
"4150",9,1800,"",4,4,900,1,""
"4153",3,1780,"",4,4,890,1,""
"4154",5,1780,"",4,4,890,1,""
"4169",4,1580,"",4,4,790,1,""
"4174",2,1998,"",4,4,999,1,""
"4175",0,2300,"",4,4,1150,1,""
"4183",4,1480,"",4,4,740,1,""
"4195",7,1860,"",4,4,930,1,""
"4196",6,1700,"",4,4,850,1,""
"4206",1,1600,"",4,4,800,1,""
"4216",5,1980,"",4,4,990,1,""
"4214",5,2998,"",4,4,1499,1,""
"4218",8,1440,"",4,4,720,1,""
"4223",2,1440,"",4,4,720,1,""
"4224",0,2360,"",4,4,1180,1,""
"4229",5,1100,"",4,4,550,1,""
"4232",13,2600,"",4,4,1300,1,""
"4233",5,1800,"",4,4,900,1,""
"4234",4,1920,"",4,4,960,1,""
"4242",0,1600,"",4,4,800,1,""
"4258",2,1780,"",4,4,890,1,""
"4274",4,1900,"",4,4,950,1,""
"4291",6,2380,"",4,4,1190,1,""
"4297",4,2500,"",4,4,1250,1,""
"4304",4,2398,"",4,4,1199,1,""
"4308",3,2300,"",4,4,1150,1,""
"4312",5,1700,"",4,4,850,1,""
"4329",5,1598,"",4,4,799,1,""
"14028",12,1240,"",4,4,620,1,""
"14037",7,1240,"",4,4,620,1,""
"14043",3,1980,"",4,4,990,1,""
"14045",5,2300,"",4,4,1150,1,""
"14046",1,2180,"",4,4,1090,1,""
"14053",5,1600,"",4,4,800,1,""
"14056",10,1400,"",4,4,700,1,""
"14060",4,1940,"",4,4,970,1,""
"14061",3,1720,"",4,4,860,1,""
"14067",6,2600,"",4,4,1300,1,""
"14073",6,2700,"",4,4,1350,1,""
"14074",6,1998,"",4,4,999,1,""
"036",7,230,"",1,1,115,1,""
"1009",14,180,"",1,1,90,1,""
"1116",18,180,"copas silic",1,1,90,1,""
"1025",8,270,"copas tela",1,1,135,1,""
"1403",4,150,"",1,1,75,1,""
"1425",7,420,"Nedly",1,1,210,1,""
"1881",2,200,"",1,1,100,1,""
"103",1,900,"",9,6,450,1,""
"117",8,500,"",9,6,250,1,""
"1777",2,500,"",5,5,250,1,""
"bolero",1,400,"",5,5,200,1,""
"1122",22,1100,"",5,5,550,1,""
"1129",9,1200,"",5,5,600,1,""
"1220",8,1300,"",5,5,650,1,""
"1240",12,1200,"",5,5,600,1,""
"1449",9,1200,"",5,5,600,1,""
"1551",8,1200,"",5,5,600,1,""
"1554",6,1200,"",5,5,600,1,""
"1766",17,1300,"",5,5,650,1,""
"1771",4,1200,"",5,5,600,1,""
"9070",5,1000,"",2,2,500,1,""
"9032",6,1000,"",2,2,500,1,""
"9033",1,1200,"",2,2,600,1,""
"9071",7,1200,"",2,2,600,1,""
"9100",2,1200,"",2,2,600,1,""
"9201",0,1200,"",2,2,600,1,""
"9205",0,1200,"",2,2,600,1,""
"9208",12,1200,"",2,2,600,1,""
"9239",5,1200,"",2,2,600,1,""
"9260",5,1000,"",2,2,500,1,""
"9301",7,1000,"",2,2,500,1,""
"9302",9,1200,"",2,2,600,1,""
"9310",6,1000,"",2,2,500,1,""
"9315",3,1000,"",2,2,500,1,""
"9320",5,1200,"",2,2,600,1,""
"9375",6,1200,"",2,2,600,1,""
"634",1,2200,"",10,11,1100,1,""
"8345",7,2000,"",10,11,1000,1,""
"514",4,2200,"",10,11,1100,1,""
"508",3,1800,"",10,11,900,1,""
"344",5,1700,"",10,11,850,1,""
"712",1,800,"",8,9,400,1,""
"719",1,800,"",8,9,400,1,""
"720-A",3,800,"",8,9,400,1,""
"720",2,800,"",8,9,400,1,""
"726",2,800,"",8,9,400,1,""
"727",6,800,"",8,9,400,1,""
"Aretes",2,200,"",11,12,100,1,""
"Brazaletes",3,400,"",11,12,200,1,""
"Capa-mod",5,200,"",11,12,100,1,""
"Capitas",46,200,"",11,12,100,1,""
"Clau-chalbord",9,400,"",11,12,200,1,""
"CHAL-EVE",1,140,"",11,12,70,1,""
"Chal-conejo",1,400,"",11,12,200,1,""
"Chal-shifon",16,120,"",11,12,60,1,""
"Bolerito-mod",15,120,"",11,12,60,1,""
"Bolero",38,240,"",11,12,120,1,""
"Saco",17,200,"",11,12,100,1,""
"Saco-Shifón",13,300,"",11,12,150,1,""
